ID,담당,영역,케이스,사전조건,절차,기대 결과,우선순위,플랫폼,결과,실제 결과 / 비고
T1-001,T1,계정·인증,이메일 회원가입 정상,미가입 이메일,1) /signup 2) 이메일·비밀번호(6자 이상)·확인 입력 3) 회원가입,"인증 메일 발송 안내가 뜨고, 메일의 링크를 누르면 로그인되어 /dashboard로 이동",P1,공통,,
T1-002,T1,계정·인증,가입 - 중복 이메일,이미 가입된 이메일,1) /signup 2) 같은 이메일로 가입 시도,"'이미 가입된 이메일입니다.' 표시, 계정 중복 생성 없음",P1,공통,,
T1-003,T1,계정·인증,가입 - 비밀번호 6자 미만,-,1) /signup 2) 비밀번호 12345 입력 후 제출,"'비밀번호는 최소 6자 이상' 검증 메시지, 제출 차단",P2,공통,,
T1-004,T1,계정·인증,가입 - 비밀번호 확인 불일치,-,1) 비밀번호와 확인을 다르게 입력 2) 제출,"불일치 검증 메시지, 제출 차단",P2,공통,,
T1-005,T1,계정·인증,가입 - 이메일 형식 오류,-,1) abc@ 입력 2) 제출,"형식 오류 메시지, 제출 차단",P3,공통,,
T1-006,T1,계정·인증,가입 인증메일 재발송,가입 직후 화면,1) 재발송 클릭 2) 쿨다운 동안 재클릭 시도,재발송되고 쿨다운(초) 동안 버튼 비활성,P2,공통,,
T1-007,T1,계정·인증,미인증 계정 로그인,가입만 하고 인증 안 한 계정,1) / 에서 로그인 시도,인증이 필요하다는 안내와 재발송 수단 제공(대시보드 진입 불가),P1,공통,,
T1-008,T1,계정·인증,로그인 정상,인증 완료 계정,1) / 에서 이메일·비밀번호 입력 2) 로그인,"/dashboard 이동, 헤더에 이메일 표시",P1,공통,,
T1-009,T1,계정·인증,로그인 - 비밀번호 오류,인증 완료 계정,1) 틀린 비밀번호로 로그인,"한국어 오류 문구, 세션 생성 안 됨",P1,공통,,
T1-010,T1,계정·인증,로그인 - 미가입 이메일,-,1) 미가입 이메일로 로그인,오류 문구 표시(계정 존재 여부를 단정하지 않음),P2,공통,,
T1-011,T1,계정·인증,next 파라미터 유지 (로그인),예매 링크 보유,1) 로그아웃 상태로 /dashboard/bookings 접근 2) 로그인,로그인 후 원래 가려던 /dashboard/bookings로 복귀,P2,공통,,
T1-012,T1,계정·인증,next 파라미터 유지 (회원가입),-,1) /signup?next=/dashboard/events 접근 2) 가입·인증 완료,인증 후 /dashboard/events로 이동,P2,공통,,
T1-013,T1,계정·인증,카카오 신규 - 가입 유도,그 카카오 이메일로 가입된 계정 없음,1) / 에서 '카카오로 계속하기' 2) 카카오 동의,"/signup으로 이동, 안내 배너 표시, 이메일 칸에 카카오 주소 자동완성, 카카오 버튼은 숨김",P1,공통,,
T1-014,T1,계정·인증,카카오 신규 - 계정이 남지 않는지,위 케이스 직후,1) 자동완성된 카카오 주소로 그대로 가입 진행,'이미 사용 중' 오류 없이 가입 성공(임시 계정이 정리되어야 함),P1,공통,,
T1-015,T1,계정·인증,카카오 신규 - 인증 후 자동 연결,위 가입의 인증 메일 수신,1) 메일 링크 클릭,"/onboarding/link-kakao로 이동해 카카오 동의 화면이 자동으로 열리고, 동의하면 대시보드 진입",P1,공통,,
T1-016,T1,계정·인증,카카오 연결 - 나중에 하기,link-kakao 화면,1) '나중에 하기' 클릭,"대시보드로 이동, 계정 설정에서 카카오 연결 버튼이 보임",P2,공통,,
T1-017,T1,계정·인증,카카오 재로그인,카카오가 연결된 계정,1) 로그아웃 2) 카카오로 로그인,가입 화면을 거치지 않고 바로 대시보드 진입,P1,공통,,
T1-018,T1,계정·인증,카카오 - 이미 가입된 이메일 충돌,"같은 이메일의 이메일계정 존재, 카카오 미연결",1) 카카오로 로그인 시도,'이메일로 로그인한 뒤 계정 설정에서 카카오를 연결하라'는 안내 표시,P2,공통,,
T1-019,T1,계정·인증,계정 설정 - 카카오 연결,이메일 계정으로 로그인,1) /dashboard/account 2) '이 계정에 카카오 연결하기' 3) 동의,"로그인 수단에 카카오 추가, 예매 내역 유지",P1,공통,,
T1-020,T1,계정·인증,계정 설정 - 카카오 해제,이메일+카카오 연결 계정,1) 카카오 행의 '연결 해제' 클릭,"해제되고 목록에서 사라짐, 이메일 로그인은 그대로 동작",P1,공통,,
T1-021,T1,계정·인증,이메일은 해제 불가,이메일+카카오 연결 계정,1) 이메일 행 확인,"해제 버튼 없음, '안내 메일·비밀번호 재설정에 쓰여요' 문구 표시",P1,공통,,
T1-022,T1,계정·인증,카카오 단독 계정 안내,카카오만 연결된 계정(있는 경우),1) /dashboard/account 확인,'유일한 로그인 수단이라 해제할 수 없어요' + 우회 방법 안내 표시,P2,공통,,
T1-023,T1,계정·인증,이메일 변경 불가 정책,이메일 보유 계정,1) /dashboard/account 확인 2) /onboarding/email 직접 접근,"'이메일 변경' 버튼 없음, 직접 접근 시 되돌려보냄, '변경할 수 없습니다' 안내 표시",P1,공통,,
T1-024,T1,계정·인증,비밀번호 재설정 - 가입된 주소,인증 완료 계정,1) /forgot-password 2) 가입 이메일 입력 3) 제출,발송 안내 → 메일 링크로 /reset-password 진입 → 새 비밀번호로 로그인 성공,P1,공통,,
T1-025,T1,계정·인증,비밀번호 재설정 - 미가입 주소,-,1) 미가입 이메일로 요청,'가입된 계정이 없는 주소입니다…' 안내(발송 성공으로 표시하지 않음),P1,공통,,
T1-026,T1,계정·인증,비밀번호 재설정 - 요청 남발 제한,-,1) 같은 주소로 6회 연속 요청,5회 이후 '너무 많이 요청' 안내(15분 제한),P2,공통,,
T1-027,T1,계정·인증,비밀번호 재설정 링크 재사용,이미 사용한 링크,1) 같은 링크를 다시 열기,"만료·사용됨 안내, 비밀번호 변경 불가",P2,공통,,
T1-028,T1,계정·인증,로그아웃,로그인 상태,1) 헤더 로그아웃,"/ 로 이동, /dashboard 접근 시 로그인 요구",P1,공통,,
T1-029,T1,계정·인증,비로그인 대시보드 접근 차단,로그아웃 상태,"1) /dashboard, /dashboard/events/xxx 직접 입력",로그인 화면으로 리다이렉트(next 유지),P1,공통,,
T1-030,T1,계정·인증,탈퇴 - 예매 있는 스테이지 보유 시 차단,내 스테이지에 예매 1건 이상,1) /dashboard/account 최하단 2) '탈퇴' 입력 후 실행,"차단되고 먼저 정리하라는 안내 표시, 계정 유지",P1,공통,,
T1-031,T1,계정·인증,탈퇴 - 확인 문구 오타,-,1) '탈퇴하기' 등 다른 문구 입력,실행 버튼 비활성,P2,공통,,
T1-032,T1,계정·인증,탈퇴 정상,예매 없는 계정,1) '탈퇴' 입력 후 실행,"계정·예매 없는 스테이지·포스터 삭제, / 로 이동, 재로그인 불가",P1,공통,,
T1-033,T1,계정·인증,탈퇴 후 참석 예약 보존,다른 사람 스테이지에 예매한 계정,1) 탈퇴 2) 주최자 명단 확인(T4 협업),예약은 명단에 남고 회원 연결만 끊김,P2,공통,,
T2-001,T2,스테이지 관리,스테이지 생성 - 필수값 검증,로그인,1) /dashboard/events/new 2) 빈 값으로 제출,제목·일시·장소·가격·계좌·연락처 등 필수 항목 오류 표시,P1,공통,,
T2-002,T2,스테이지 관리,스테이지 생성 정상(유료),로그인,1) 모든 필수값 입력 2) 저장,"생성되고 상세로 이동, 상태는 오픈 전(draft), 공개 링크(slug) 발급",P1,공통,,
T2-003,T2,스테이지 관리,스테이지 생성 정상(무료),로그인,1) 가격 0원으로 생성,무료로 저장되고 예매 시 즉시 확정 안내가 나오는지 확인(T3 협업),P1,공통,,
T2-004,T2,스테이지 관리,포스터 업로드,생성/수정 화면,1) 이미지 업로드 2) 저장 후 공개 페이지 확인,"미리보기·공개 페이지에 반영, 비율 유지",P1,공통,,
T2-005,T2,스테이지 관리,포스터 교체·삭제,포스터 있는 스테이지,1) 다른 이미지로 교체 2) 삭제 후 저장,교체·삭제가 공개 페이지에 반영,P2,공통,,
T2-006,T2,스테이지 관리,포스터 - 비이미지/대용량,생성 화면,1) pdf·10MB 초과 파일 업로드,거부되고 한국어 오류 안내,P2,공통,,
T2-007,T2,스테이지 관리,리치텍스트 3종 입력,생성 화면,1) 안내(description)·예매 주의사항·취소 규정에 목록/굵게/링크 입력 2) 저장,"공개 페이지·예매 폼·취소 모달에 서식 그대로 표시, 스크립트 삽입은 정화됨",P1,공통,,
T2-008,T2,스테이지 관리,커스텀 필드 4종,생성 화면,"1) text·number·select·checkbox 추가, 일부 필수 지정 2) 저장",예매 폼에 표시되고 필수 항목 미입력 시 제출 차단(T3 협업),P1,공통,,
